Scientific Name | Nom scientifique,Taxonomic Kingdom | Règne taxonomique,Taxonomic Rank | Rang taxonomique,Province/Territory | Province/territoire,Province/Territory Code | Code du Province/territoire,Country | Pays,Country Code | Code du pays,Collection Code | Code de la collection
"Aphelenchus avenae Bastian, 1865",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Criconema jaejuense (Choi & Geraert, 1975) Raski & Luc, 1985",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Discolaimus major Thorne, 1939",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Helicotylenchus cornurus Anderson, 1974",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Helicotylenchus digonicus Perry in Perry, Darling & Thorne, 1959",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Helicotylenchus dihystera (Cobb, 1893) Sher, 1966",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Helicotylenchus leiocephalus Sher, 1966",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Helicotylenchus phalerus Anderson, 1974",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Hemicycliophora minora Wu, 1966",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Hemicycliophora uniformis Thorne, 1955",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Heterodera glycines Ichinohe, 1952",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Heterodera schachtii A. Schmidt, 1871",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Heterodera trifolii Goffart, 1932",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Hoplolaimus indicus Sher, 1963",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Meloidogyne hapla Chitwood, 1949",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Meloidogyne javanica (Treub, 1885) Chitwood, 1949",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Mononchus truncatus Bastian, 1865",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Mylonchulus subtenuis Cobb, 1917",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Nagelus leptus (Allen, 1955) Siddiqi, 1979",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Paratylenchus hamatus Thorne & Allen, 1950",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Paratylenchus labiosus Anderson & Kimpinski, 1977",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Paratylenchus neoprojectus Wu & Hawn, 1975",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Paratylenchus projectus Jenkins, 1956",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Paratylenchus tateae Wu & Townshend, 1973",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Pratylenchoides bacilisemenus Sher, 1970",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Pratylenchus hexincisus Taylor & Jenkins, 1957",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
"Pratylenchus neglectus (Rensch, 1924) Filipjev & Schuurmans Stekhoven, 1941",Animalia,species | espèce,Alberta,AB,Canada,CA,CNC
